StateCode,State,AvgRetailPrice_cents_per_kWh,NetSummerCapacity_MW,NetGeneration_MWh,TotalRetailSales_MWh
AL,Alabama,11.47,31097.0,139435010.0,84880359.0
AK,Alaska,21.41,2821.0,6717825.0,6024598.0
AZ,Arizona,12.19,29885.0,111838736.0,85918798.0
AR,Arkansas,9.73,15062.0,63195647.0,48649300.0
CA,California,24.87,90375.0,216628794.0,239480452.0
CO,Colorado,11.76,19541.0,57541720.0,55565819.0
CT,Connecticut,24.24,9936.0,40666418.0,26685176.0
DE,Delaware,12.85,3296.0,4772059.0,11081671.0
DC,District of Columbia,16.5,52.0,171870.0,9879714.0
FL,Florida,13.53,68723.0,259798479.0,250940214.0
GA,Georgia,11.06,37786.0,129221513.0,142028831.0
HI,Hawaii,38.6,3222.0,9194164.0,8927252.0
ID,Idaho,9.08,5353.0,17842446.0,25673977.0
IL,Illinois,11.75,45419.0,177737641.0,130578217.0
IN,Indiana,11.49,26578.0,90046880.0,95995350.0
IA,Iowa,9.42,22706.0,69836973.0,54400259.0
KS,Kansas,10.8,19197.0,58456598.0,41052008.0
KY,Kentucky,9.96,18336.0,63217080.0,71223021.0
LA,Louisiana,8.91,24963.0,97784565.0,95374457.0
ME,Maine,20.84,5252.0,12512181.0,11336030.0
MD,Maryland,14.34,11924.0,36000650.0,57033085.0
MA,Massachusetts,23.21,12850.0,19695884.0,50011964.0
MI,Michigan,13.68,31120.0,120656625.0,97588690.0
MN,Minnesota,12.21,17842.0,57276862.0,66215800.0
MS,Mississippi,10.95,14833.0,72933440.0,48421762.0
MO,Missouri,10.87,21172.0,66703285.0,76975799.0
MT,Montana,10.97,6698.0,26895758.0,15504699.0
NE,Nebraska,9.14,10781.0,39445955.0,33571199.0
NV,Nevada,13.09,14536.0,42164375.0,38249355.0
NH,New Hampshire,22.96,4467.0,16824999.0,10631313.0
NJ,New Jersey,15.27,16838.0,64228924.0,71096939.0
NM,New Mexico,9.47,10724.0,39269073.0,28347490.0
NY,New York,18.28,40230.0,124039988.0,139421936.0
NC,North Carolina,10.61,35864.0,126553394.0,133091108.0
ND,North Dakota,8.03,9402.0,42068807.0,28202179.0
OH,Ohio,11.04,29104.0,133223464.0,146640983.0
OK,Oklahoma,9.3,31690.0,89236024.0,68978840.0
OR,Oregon,10.32,17469.0,61691869.0,57984962.0
PA,Pennsylvania,12.57,48526.0,235924937.0,138710993.0
RI,Rhode Island,21.62,2289.0,10430846.0,7300788.0
SC,South Carolina,10.5,24422.0,100853387.0,81202185.0
SD,South Dakota,10.49,6799.0,17436158.0,13505999.0
TN,Tennessee,10.69,20924.0,77791204.0,99046005.0
TX,Texas,10.04,155010.0,547294552.0,492820385.0
UT,Utah,9.03,9710.0,33496554.0,33343537.0
VT,Vermont,17.53,856.0,2480199.0,5364023.0
VA,Virginia,10.68,28218.0,91059344.0,132318505.0
WA,Washington,9.58,30884.0,102960605.0,89552630.0
WV,West Virginia,10.26,15005.0,52286784.0,32070687.0
WI,Wisconsin,12.72,17580.0,62548705.0,68563904.0
WY,Wyoming,8.39,10192.0,43181420.0,16790115.0
