City,State,ISO,Population,Current_Power_Usage_MW,Power_Usage_per_Capita_kW,Is_Hub,Avg_LMP_USD_per_MWh,LMP_Volatility,High_Price_Days,Elec_Rate_Change_Pct
Philadelphia,PA,PJM,1600000,2496.5,1.5603,0,38.22,5,2,0.03568
Baltimore,MD,PJM,580000,899.47,1.5508,0,34.07,5,1,0.03424
Richmond,VA,PJM,230000,300.7,1.3074,0,44.13,5,2,0.04046
Ashburn,VA,PJM,50000,68.53,1.3706,1,36.68,5,2,0.05709
Hartford,CT,ISONE,120000,171.21,1.4267,0,29.6,5,1,0.02905
Sacramento,CA,CAISO,525000,868.4,1.6541,0,49.57,5,3,0.05249
Cleveland,OH,PJM,370000,500.99,1.354,0,26.03,5,1,0.03663
Philadelphia,PA,PJM,1600000,2082.06,1.3013,0,44.74,5,3,0.04428
San Antonio,TX,ERCOT,1450000,2457.72,1.695,1,36.93,5,2,0.05754
Detroit,MI,MISO,640000,920.91,1.4389,0,59.3,5,3,0.05304
Austin,TX,ERCOT,970000,1537.83,1.5854,0,42.61,5,2,0.04662
Hartford,CT,ISONE,120000,172.59,1.4383,0,40.3,5,2,0.04182
Houston,TX,ERCOT,2300000,3550.68,1.5438,0,52.09,5,3,0.04942
Baltimore,MD,PJM,580000,764.64,1.3183,0,42.53,5,2,0.03899
Santa Clara,CA,CAISO,130000,192.25,1.4789,1,33.91,5,2,0.05754
San Diego,CA,CAISO,1400000,2287.2,1.6337,0,54.0,5,3,0.05457
Sacramento,CA,CAISO,525000,872.93,1.6627,0,44.56,5,2,0.0438
Santa Clara,CA,CAISO,130000,205.2,1.5785,1,42.55,5,2,0.05625
Ashburn,VA,PJM,50000,76.55,1.5311,1,45.96,5,3,0.06504
Detroit,MI,MISO,640000,851.32,1.3302,0,31.42,5,1,0.03626
San Diego,CA,CAISO,1400000,2205.12,1.5751,0,42.29,5,2,0.04547
Santa Clara,CA,CAISO,130000,215.17,1.6552,1,44.02,5,2,0.0598
San Diego,CA,CAISO,1400000,2262.05,1.6157,0,20.0,5,1,0.02662
Richmond,VA,PJM,230000,345.59,1.5026,0,46.26,5,3,0.05175
