CountyName,StateName,Year,Avg_Home_Value,HomeValue_Pct_Change
Baltimore County,MD,2000,176402.36,0.0
Baltimore County,MD,2001,185100.45,4.93
Baltimore County,MD,2002,200432.56,8.28
Baltimore County,MD,2003,224749.92,12.13
Baltimore County,MD,2004,260831.05,16.05
Baltimore County,MD,2005,310375.44,18.99
Baltimore County,MD,2006,353758.52,13.98
Baltimore County,MD,2007,362669.81,2.52
Baltimore County,MD,2008,347179.71,-4.27
Baltimore County,MD,2009,316227.8,-8.92
Baltimore County,MD,2010,301482.46,-4.66
Baltimore County,MD,2011,281611.55,-6.59
Baltimore County,MD,2012,276617.48,-1.77
Baltimore County,MD,2013,286361.59,3.52
Baltimore County,MD,2014,298307.37,4.17
Baltimore County,MD,2015,303787.6,1.84
Baltimore County,MD,2016,310002.5,2.05
Baltimore County,MD,2017,317312.24,2.36
Baltimore County,MD,2018,325146.84,2.47
Baltimore County,MD,2019,333576.98,2.59
Baltimore County,MD,2020,345561.29,3.59
Baltimore County,MD,2021,383850.86,11.08
Baltimore County,MD,2022,410623.75,6.97
Baltimore County,MD,2023,420668.85,2.45
Baltimore County,MD,2024,434410.35,3.27
Baltimore County,MD,2025,444641.18,2.36
Bexar County,TX,2000,177519.07,0.0
Bexar County,TX,2001,177061.09,-0.26
Bexar County,TX,2002,178292.16,0.7
Bexar County,TX,2003,182958.34,2.62
Bexar County,TX,2004,194472.73,6.29
Bexar County,TX,2005,204942.58,5.38
Bexar County,TX,2006,218099.47,6.42
Bexar County,TX,2007,233792.95,7.2
Bexar County,TX,2008,239442.97,2.42
Bexar County,TX,2009,235218.43,-1.76
Bexar County,TX,2010,233778.16,-0.61
Bexar County,TX,2011,227717.51,-2.59
Bexar County,TX,2012,231695.13,1.75
Bexar County,TX,2013,244435.96,5.5
Bexar County,TX,2014,259737.79,6.26
Bexar County,TX,2015,277798.46,6.95
Bexar County,TX,2016,290627.19,4.62
Bexar County,TX,2017,303843.14,4.55
Bexar County,TX,2018,318420.0,4.8
Bexar County,TX,2019,326508.35,2.54
Bexar County,TX,2020,342635.01,4.94
Bexar County,TX,2021,390793.13,14.06
Bexar County,TX,2022,447093.56,14.41
Bexar County,TX,2023,452246.23,1.15
Bexar County,TX,2024,458300.15,1.34
Bexar County,TX,2025,457941.23,-0.08
Cuyahoga County,OH,2000,174963.57,0.0
Cuyahoga County,OH,2001,184002.83,5.17
Cuyahoga County,OH,2002,189865.15,3.19
Cuyahoga County,OH,2003,195799.96,3.13
Cuyahoga County,OH,2004,203499.52,3.93
Cuyahoga County,OH,2005,210882.35,3.63
Cuyahoga County,OH,2006,216183.59,2.51
Cuyahoga County,OH,2007,207906.62,-3.83
Cuyahoga County,OH,2008,197318.62,-5.09
Cuyahoga County,OH,2009,187215.09,-5.12
Cuyahoga County,OH,2010,184561.09,-1.42
Cuyahoga County,OH,2011,177469.73,-3.84
Cuyahoga County,OH,2012,172821.03,-2.62
Cuyahoga County,OH,2013,176308.22,2.02
Cuyahoga County,OH,2014,181570.26,2.98
Cuyahoga County,OH,2015,186432.53,2.68
Cuyahoga County,OH,2016,193155.43,3.61
Cuyahoga County,OH,2017,200417.59,3.76
Cuyahoga County,OH,2018,210082.57,4.82
Cuyahoga County,OH,2019,218544.23,4.03
Cuyahoga County,OH,2020,226986.45,3.86
Cuyahoga County,OH,2021,256907.32,13.18
Cuyahoga County,OH,2022,282314.19,9.89
Cuyahoga County,OH,2023,293031.73,3.8
Cuyahoga County,OH,2024,313205.95,6.88
Cuyahoga County,OH,2025,328038.84,4.74
Dallas County,AL,2000,62684.65,0.0
Dallas County,AR,2000,88741.85,41.57
Dallas County,TX,2000,170981.42,92.67
Dallas County,AL,2001,64805.87,-62.1
Dallas County,AR,2001,101108.85,56.02
Dallas County,TX,2001,174673.93,72.76
Dallas County,AL,2002,66442.26,-61.96
Dallas County,AR,2002,101550.21,52.84
Dallas County,TX,2002,178738.16,76.01
Dallas County,AL,2003,68663.37,-61.58
Dallas County,AR,2003,103714.1,51.05
Dallas County,TX,2003,182859.35,76.31
Dallas County,AL,2004,70827.98,-61.27
Dallas County,AR,2004,106055.69,49.74
Dallas County,TX,2004,193032.17,82.01
Dallas County,AL,2005,75565.59,-60.85
Dallas County,AR,2005,110055.14,45.64
Dallas County,TX,2005,198948.52,80.77
Dallas County,AL,2006,85538.92,-57.0
Dallas County,AR,2006,115628.9,35.18
Dallas County,IA,2006,164429.36,42.2
Dallas County,TX,2006,204090.13,24.12
Dallas County,AL,2007,86847.22,-57.45
Dallas County,AR,2007,117810.34,35.65
Dallas County,IA,2007,167328.58,42.03
Dallas County,TX,2007,209263.78,25.06
Dallas County,AL,2008,88726.31,-57.6
Dallas County,AR,2008,116900.97,31.75
Dallas County,IA,2008,167420.72,43.22
Dallas County,TX,2008,205725.49,22.88
Dallas County,AL,2009,93067.5,-54.76
Dallas County,AR,2009,110653.86,18.9
Dallas County,IA,2009,149387.43,35.0
Dallas County,TX,2009,194623.28,30.28
Dallas County,AL,2010,87644.15,-54.97
Dallas County,AR,2010,102251.69,16.67
Dallas County,IA,2010,142437.22,39.3
Dallas County,TX,2010,193704.42,35.99
Dallas County,AL,2011,85856.08,-55.68
Dallas County,AR,2011,100850.69,17.46
Dallas County,IA,2011,139585.82,38.41
Dallas County,MO,2011,89406.96,-35.95
Dallas County,TX,2011,185475.89,107.45
Dallas County,AL,2012,86493.24,-53.37
Dallas County,AR,2012,98283.25,13.63
Dallas County,IA,2012,143085.94,45.59
Dallas County,MO,2012,89500.43,-37.45
Dallas County,TX,2012,189649.93,111.9
Dallas County,AL,2013,92982.0,-50.97
Dallas County,AR,2013,99541.81,7.05
Dallas County,IA,2013,151118.79,51.81
Dallas County,MO,2013,93129.43,-38.37
Dallas County,TX,2013,208139.01,123.49
Dallas County,AL,2014,105546.1,-49.29
Dallas County,AR,2014,101307.6,-4.02
Dallas County,IA,2014,157374.28,55.34
Dallas County,MO,2014,98958.76,-37.12
Dallas County,TX,2014,228837.14,131.24
Dallas County,AL,2015,107923.76,-52.84
Dallas County,AR,2015,107258.73,-0.62
