CountyName,StateName,Year,is_hub,Is_Post_Announcement,Avg_Home_Value,HomeValue_Pct_Change
Baltimore County,MD,2000,0,0,176402.36,0.0
Baltimore County,MD,2001,0,0,185100.45,4.93
Baltimore County,MD,2002,0,0,200432.56,8.28
Baltimore County,MD,2003,0,0,224749.92,12.13
Baltimore County,MD,2004,0,0,260831.05,16.05
Baltimore County,MD,2005,0,0,310375.44,18.99
Baltimore County,MD,2006,0,0,353758.52,13.98
Baltimore County,MD,2007,0,0,362669.81,2.52
Baltimore County,MD,2008,0,0,347179.71,-4.27
Baltimore County,MD,2009,0,0,316227.8,-8.92
Baltimore County,MD,2010,0,0,301482.46,-4.66
Baltimore County,MD,2011,0,0,281611.55,-6.59
Baltimore County,MD,2012,0,0,276617.48,-1.77
Baltimore County,MD,2013,0,0,286361.59,3.52
Baltimore County,MD,2014,0,0,298307.37,4.17
Baltimore County,MD,2015,0,0,303787.6,1.84
Baltimore County,MD,2016,0,0,310002.5,2.05
Baltimore County,MD,2017,0,0,317312.24,2.36
Baltimore County,MD,2018,0,0,325146.84,2.47
Baltimore County,MD,2019,0,0,333576.98,2.59
Baltimore County,MD,2020,0,0,345561.29,3.59
Baltimore County,MD,2021,0,0,383850.86,11.08
Baltimore County,MD,2022,0,0,410623.75,6.97
Baltimore County,MD,2023,0,0,420668.85,2.45
Baltimore County,MD,2024,0,0,434410.35,3.27
Baltimore County,MD,2025,0,0,444641.18,2.36
Bexar County,TX,2000,1,0,177519.07,0.0
Bexar County,TX,2001,1,0,177061.09,-0.26
Bexar County,TX,2002,1,0,178292.16,0.7
Bexar County,TX,2003,1,0,182958.34,2.62
Bexar County,TX,2004,1,0,194472.73,6.29
Bexar County,TX,2005,1,0,204942.58,5.38
Bexar County,TX,2006,1,0,218099.47,6.42
Bexar County,TX,2007,1,0,233792.95,7.2
Bexar County,TX,2008,1,0,239442.97,2.42
Bexar County,TX,2009,1,0,235218.43,-1.76
Bexar County,TX,2010,1,0,233778.16,-0.61
Bexar County,TX,2011,1,0,227717.51,-2.59
Bexar County,TX,2012,1,0,231695.13,1.75
Bexar County,TX,2013,1,0,244435.96,5.5
Bexar County,TX,2014,1,0,259737.79,6.26
Bexar County,TX,2015,1,0,277798.46,6.95
Bexar County,TX,2016,1,0,290627.19,4.62
Bexar County,TX,2017,1,0,303843.14,4.55
Bexar County,TX,2018,1,0,318420.0,4.8
Bexar County,TX,2019,1,0,326508.35,2.54
Bexar County,TX,2020,1,0,342635.01,4.94
Bexar County,TX,2021,1,0,390793.13,14.06
Bexar County,TX,2022,1,0,447093.56,14.41
Bexar County,TX,2023,1,0,452246.23,1.15
Bexar County,TX,2024,1,1,458300.15,1.34
Bexar County,TX,2025,1,1,457941.23,-0.08
Cuyahoga County,OH,2000,0,0,174963.57,0.0
Cuyahoga County,OH,2001,0,0,184002.83,5.17
Cuyahoga County,OH,2002,0,0,189865.15,3.19
Cuyahoga County,OH,2003,0,0,195799.96,3.13
Cuyahoga County,OH,2004,0,0,203499.52,3.93
Cuyahoga County,OH,2005,0,0,210882.35,3.63
Cuyahoga County,OH,2006,0,0,216183.59,2.51
Cuyahoga County,OH,2007,0,0,207906.62,-3.83
Cuyahoga County,OH,2008,0,0,197318.62,-5.09
Cuyahoga County,OH,2009,0,0,187215.09,-5.12
Cuyahoga County,OH,2010,0,0,184561.09,-1.42
Cuyahoga County,OH,2011,0,0,177469.73,-3.84
Cuyahoga County,OH,2012,0,0,172821.03,-2.62
Cuyahoga County,OH,2013,0,0,176308.22,2.02
Cuyahoga County,OH,2014,0,0,181570.26,2.98
Cuyahoga County,OH,2015,0,0,186432.53,2.68
Cuyahoga County,OH,2016,0,0,193155.43,3.61
Cuyahoga County,OH,2017,0,0,200417.59,3.76
Cuyahoga County,OH,2018,0,0,210082.57,4.82
Cuyahoga County,OH,2019,0,0,218544.23,4.03
Cuyahoga County,OH,2020,0,0,226986.45,3.86
Cuyahoga County,OH,2021,0,0,256907.32,13.18
Cuyahoga County,OH,2022,0,0,282314.19,9.89
