State,Year,RegionID,RegionName,RegionType,StateName,Metro,CountyName,Date,Avg_Home_Value,HomeValue_Pct_Change,Company,Project,Location,AnnouncementDate,Is_Post_Announcement
AK,2001,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2001-12-31,181532.13936439937,23.368858716948697,,,,,0
AK,2002,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2002-12-31,189945.2298516432,4.634490904310762,,,,,0
AK,2003,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2003-12-31,203329.26668012663,7.046261092703943,,,,,0
AK,2004,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2004-12-31,219493.5581011506,7.949810514220412,,,,,0
AK,2005,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2005-12-31,253168.01938335857,15.341890474384478,,,,,0
AK,2006,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2006-12-31,258854.4374610629,2.2461044217017445,,,,,0
AK,2007,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2007-12-31,274017.67013821803,5.857822189907802,,,,,0
AK,2008,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2008-12-31,283692.49290767714,3.5307295199535904,,,,,0
AK,2009,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2009-12-31,279847.11159942386,-1.3554751727267944,,,,,0
AK,2010,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2010-12-31,281142.4979188058,0.4628907234305091,,,,,0
AK,2011,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2011-12-31,278266.3469481789,-1.023022485720937,,,,,0
AK,2012,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2012-12-31,285751.4667449067,2.689911977793602,,,,,0
AK,2013,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2013-12-31,284990.2698364741,-0.2663842524077475,,,,,0
AK,2014,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2014-12-31,287237.1515263392,0.7884064572289962,,,,,0
